z [m],qc [MPa],fs [MPa],u2 [MPa],ID,Location ID,Blowcount [Blows/m],Normalised ENTRHU [-],Normalised hammer energy [-],Number of blows,Diameter [m],Bottom wall thickness [mm],Pile penetration [m],area ratio [-],Push,Total unit weight [kN/m3],Layer no,Vertical total stress [kPa],Water pressure [kPa],Vertical effective stress [kPa],qt [MPa],Delta u2 [MPa],Rf [%],Bq [-],Qt [-],Fr [%],qnet [MPa],Ic [-]
6.0,31.41603333333333,0.2355333333333333,0.06373333333333334,EK__6_0,EK,28.0,0.11525,0.1536666666666667,34.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,114.0,61.5,52.5,31.431966666666664,0.002233333333333337,0.7493432906414805,7.131156875872116e-05,596.5326984126983,0.7520709624613773,31.317966666666663,1.393497680829991
6.5,27.5044,0.2402,0.07869999999999999,EK__6_5,EK,32.0,0.1223125,0.1630833333333334,51.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,123.5,66.625,56.875,27.524075,0.012074999999999989,0.8726905445505435,0.0004406841827224424,481.76835164835165,0.8766239394611244,27.400575,1.4848484067007808
7.0,27.1576,0.2381,0.0864,EK__7_0,EK,36.0,0.129375,0.1725,68.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,133.0,71.75,61.25,27.179199999999998,0.014649999999999996,0.8760375581326898,0.0005416657423223964,441.570612244898,0.8803454829144206,27.0462,1.4978102800813884
7.5,27.775,0.2428,0.0914,EK__7_5,EK,34.0,0.1420291666666667,0.189375,83.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,142.5,76.875,65.625,27.797849999999997,0.014524999999999996,0.8734488458639788,0.0005252148318498951,421.4148571428571,0.8779494745139729,27.65535,1.499009884085155
8.0,25.6258,0.2495,0.1084,EK__8_0,EK,32.0,0.1546833333333333,0.20625,98.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,152.0,82.0,70.0,25.652900000000002,0.026399999999999993,0.9725995891302737,0.0010352575791442652,364.2985714285714,0.9783968408958115,25.5009,1.5631620886095945
8.5,24.0875,0.2357,0.1026,EK__8_5,EK,32.0,0.1738416666666667,0.2317916666666667,112.5,2.48,50.0,31.0,0.75,1.0,19.0,1.0,161.5,87.125,74.375,24.113149999999997,0.015474999999999989,0.9774749462430252,0.0006460932754110882,322.03899159663865,0.984065815924999,23.951649999999997,1.589583487100883
9.0,26.922994,0.258358,0.1033935,EK__9_0,EK,32.0,0.193,0.2573333333333334,127.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,171.0,92.25,78.75,26.948842374999998,0.0111435,0.9586979522343954,0.000416146299016371,340.03609365079365,0.9648200791606908,26.777842375,1.5603841257972606
9.5,26.477144,0.222408,0.093931,EK__9_5,EK,26.0,0.2106875,0.2809166666666667,138.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,180.5,97.375,83.125,26.50062675,-0.0034440000000000026,0.8392556225108903,-0.00013085043368949592,316.63310375939847,0.8450111282233852,26.32012675,1.5292884617960838
10.0,28.0096,0.2506,0.091475,EK__10_0,EK,20.0,0.228375,0.3045,149.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,190.0,102.5,87.5,28.03246875,-0.011025000000000007,0.8939633616821565,-0.0003959778171610593,318.1996428571428,0.9000638637692644,27.84246875,1.5406976113131252
10.5,29.6673,0.2659,0.100675,EK__10_5,EK,24.0,0.2335625,0.3114166666666667,162.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,199.5,107.625,91.875,29.69246875,-0.006949999999999998,0.8955132772514918,-0.0002356493867712113,321.01190476190476,0.9015708193160448,29.49296875,1.5317289504444835
11.0,29.1433,0.2525,0.101175,EK__11_0,EK,28.0,0.23875,0.3183333333333334,175.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,209.0,112.75,96.25,29.16859375,-0.011575000000000002,0.8656570905136625,-0.00039969483342631497,300.87889610389607,0.8719044962431491,28.95959375,1.5320271748844296
11.5,31.4251,0.2771,0.104375,EK__11_5,EK,36.0,0.2374375,0.3165833333333334,197.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,218.5,117.875,100.625,31.45119375,-0.013500000000000012,0.8810476390900107,-0.0004322393741654132,310.3870186335404,0.8872113376387843,31.232693750000003,1.5225674350357778
12.0,42.347,0.3652,0.106675,EK__12_0,EK,44.0,0.236125,0.3148333333333334,219.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,228.0,123.0,105.0,42.37366875,-0.016324999999999992,0.861855984561167,-0.0003873470390714821,401.38732142857145,0.8665184604527127,42.14566875,1.4391426657447974
12.5,45.493828,0.3676480000000001,0.107681,EK__12_5,EK,60.0,0.2557208333333333,0.3409583333333334,252.5,2.48,50.0,31.0,0.75,1.0,19.0,1.0,237.5,128.125,109.375,45.520748250000004,-0.02044399999999999,0.807649289903753,-0.00045146937973911767,414.0182697142858,0.8118852207118336,45.28324825000001,1.4023419420941543
13.0,44.03100000000001,0.2804,0.117325,EK__13_0,EK,76.0,0.2753166666666667,0.3670833333333333,286.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,247.0,133.25,113.75,44.06033125000001,-0.01592500000000001,0.636400117849772,-0.00036347384564600993,385.17214285714294,0.6399878575770244,43.81333125000001,1.3335174742888363
13.5,33.5392,0.1972,0.123025,EK__13_5,EK,80.0,0.3030958333333333,0.404125,330.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,256.5,138.375,118.125,33.569956250000004,-0.015350000000000003,0.5874300178749859,-0.00046077476575250286,282.01867724867725,0.5919529889667332,33.31345625,1.3941011441741302
14.0,16.6663,0.1533,0.122825,EK__14_0,EK,84.0,0.330875,0.4411666666666667,374.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,266.0,143.5,122.5,16.69700625,-0.020675000000000013,0.9181286615377531,-0.0012582917738224347,134.13066326530614,0.9329921592598747,16.431006250000003,1.766641079423146
14.5,9.7041,0.1141,0.130525,EK__14_5,EK,90.0,0.34225,0.4563333333333334,421.5,2.48,50.0,31.0,0.75,1.0,19.0,1.0,275.5,148.625,126.875,9.73673125,-0.018100000000000005,1.171851179521875,-0.0019130702465390012,74.57128078817733,1.205974116740884,9.46123125,2.035577243664784
15.0,29.6587,0.2206,0.133925,EK__15_0,EK,96.0,0.353625,0.4715,469.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,285.0,153.75,131.25,29.69218125,-0.01982500000000001,0.7429565316963703,-0.000674155058638951,224.05471428571428,0.7501569025763052,29.40718125,1.5242411585991607
15.5,34.41329200000001,0.238416,0.138291,EK__15_5,EK,90.0,0.381125,0.5081666666666667,513.5,2.48,50.0,31.0,0.75,1.0,19.0,1.0,294.5,158.875,135.625,34.447864750000015,-0.02058400000000002,0.692106758228026,-0.0006026931797400726,251.82204423963145,0.698074704337879,34.153364750000016,1.4596090652835547
16.0,22.3959,0.2158,0.140275,EK__16_0,EK,84.0,0.408625,0.5448333333333333,558.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,304.0,164.0,140.0,22.43096875,-0.023724999999999996,0.962062773147058,-0.0010722209746872804,158.0497767857143,0.9752804482087044,22.126968750000003,1.7095702019049497
16.5,7.0497,0.1683,0.103475,EK__16_5,EK,88.0,0.4131583333333333,0.550875,602.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,313.5,169.125,144.375,7.0755687499999995,-0.06565,2.378607373435528,-0.009708567367050211,46.83683982683982,2.488883302169917,6.762068749999999,2.399179444872611
17.0,25.8212,0.2195,0.04637500000000001,EK__17_0,EK,92.0,0.4176916666666667,0.5569166666666666,646.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,323.0,174.25,148.75,25.83279375,-0.12787500000000002,0.8496951670200208,-0.005012780630576443,171.4944117647059,0.8604538404000228,25.50979375,1.6351266423832531
17.5,20.4271,0.224,-0.06962499999999999,EK__17_5,EK,88.0,0.42125,0.5616666666666666,687.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,332.5,179.375,153.125,20.40969375,-0.249,1.0975176930325083,-0.012402131647506764,131.11636734693877,1.115693770699404,20.07719375,1.801940214678318
18.0,21.5396,0.2884,0.07027500000000003,EK__18_0,EK,84.0,0.4248083333333333,0.5664166666666667,728.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,342.0,184.5,157.5,21.55716875,-0.11422499999999997,1.337838021980507,-0.005384119322642671,134.69948412698412,1.3594046948129979,21.21516875,1.8550552040252246
18.5,38.366,0.4415666666666667,0.09599166666666667,EK__18_5,EK,82.0,0.4331208333333333,0.5775,769.5,2.48,50.0,31.0,0.75,1.0,19.0,1.0,351.5,189.625,161.875,38.389997916666665,-0.09363333333333335,1.1502127914285836,-0.002461541292678323,234.98685971685973,1.1608414917803398,38.038497916666664,1.6313682283963074
19.0,42.2042,0.5185,0.149425,EK__19_0,EK,80.0,0.4414333333333333,0.5885833333333333,811.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,361.0,194.75,166.25,42.24155625,-0.045325000000000004,1.2274642461829277,-0.0010822444603992096,251.9131203007519,1.2380446833248542,41.880556250000005,1.6325505051559435
19.5,25.7707,0.3785,0.144725,EK__19_5,EK,84.0,0.4456541666666667,0.5942083333333333,853.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,370.5,199.875,170.625,25.80688125,-0.055150000000000005,1.46666308235134,-0.0021681543242319506,149.0776923076923,1.488026131861819,25.43638125,1.846683362120974
20.0,24.5497,0.2716,0.109025,EK__20_0,EK,88.0,0.449875,0.5998333333333333,895.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,380.0,205.0,175.0,24.576956250000002,-0.09597500000000002,1.1051002298138524,-0.003966407965051389,138.26832142857143,1.1224552261609348,24.196956250000003,1.7716671950855893
20.5,27.6358,0.279,-0.154375,EK__20_5,EK,80.0,0.447875,0.5971666666666666,928.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,389.5,210.125,179.375,27.59720625,-0.36450000000000005,1.0109718986500673,-0.01339693969975878,151.68059233449475,1.02544476714203,27.207706249999998,1.7087633886681766
21.0,29.6488,0.373,0.157625,EK__21_0,EK,72.0,0.445875,0.5945,961.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,399.0,215.25,183.75,29.68820625,-0.05762500000000001,1.2563911637470517,-0.001967448332608877,159.39704081632652,1.2735066864435767,29.28920625,1.7647172033975091
21.5,29.362408,0.362568,0.181037,EK__21_5,EK,70.0,0.4447208333333333,0.5929583333333334,998.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,408.5,220.375,188.125,29.40766725,-0.03933800000000001,1.2329029600265216,-0.0013565217118432949,154.14839734219268,1.2502703849194152,28.99916725,1.7662710800765762
22.0,30.77104133333333,0.3705346666666667,0.190237,EK__22_0,EK,68.0,0.4435666666666667,0.5914166666666667,1035.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,418.0,225.5,192.5,30.81860058333333,-0.03526300000000002,1.2023085398207582,-0.001159944189370141,157.9251978354978,1.218839955648135,30.40060058333333,1.7475409430641466
22.5,32.17967466666667,0.3785013333333334,0.199437,EK__22_5,EK,70.0,0.449875,0.5998333333333333,1072.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,427.5,230.625,196.875,32.22953391666667,-0.031187999999999994,1.1743928234022685,-0.000980691992270819,161.53414052910054,1.1901796417334494,31.80203391666667,1.7299009588574905
23.0,34.6297,0.4392,0.200525,EK__23_0,EK,72.0,0.4561833333333333,0.60825,1109.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,437.0,235.75,201.25,34.67983125,-0.035225000000000006,1.2664421485614927,-0.0010286824632820045,170.1507142857143,1.2826042239132898,34.24283125,1.7383370807506129
23.5,32.3491,0.4046,0.212725,EK__23_5,EK,74.0,0.4527791666666666,0.6037083333333333,1147.5,2.48,50.0,31.0,0.75,1.0,19.0,1.0,446.5,240.875,205.625,32.40228125,-0.02815000000000001,1.2486775140253434,-0.0008809047658629847,155.4080547112462,1.2661245764410782,31.95578125,1.759496572113355
24.0,28.9638,0.3913,0.191725,EK__24_0,EK,76.0,0.449375,0.5991666666666666,1186.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,456.0,246.0,210.0,29.01173125,-0.05427499999999999,1.3487647346105895,-0.0019006692395593962,135.97967261904762,1.3703028529518044,28.55573125,1.8274298880389734
24.5,22.977,0.3166,0.165725,EK__24_5,EK,74.0,0.451,0.6013333333333333,1225.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,465.5,251.125,214.375,23.01843125,-0.08539999999999998,1.3754195347261122,-0.003786647467388523,105.2031778425656,1.4038086512590242,22.55293125,1.9176648104363756
25.0,21.7444,0.2807,0.225025,EK__25_0,EK,72.0,0.452625,0.6035,1264.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,475.0,256.25,218.75,21.80065625,-0.031224999999999975,1.2875759187295108,-0.0014641987863796679,97.48871428571428,1.316254921815126,21.325656249999998,1.9202049854839114
25.5,23.23762307692308,0.2942769230769231,0.2314903846153846,EK__25_5,EK,76.0,0.4570625,0.6094166666666667,1304.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,484.5,261.375,223.125,23.295495673076925,-0.029884615384615426,1.263235293237503,-0.0013100969292579923,102.23415427709546,1.2900661036214591,22.810995673076924,1.8956690430557517
26.0,27.8357,0.3416,0.238375,EK__26_0,EK,80.0,0.4615,0.6153333333333333,1344.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,494.0,266.5,227.5,27.89529375,-0.02812500000000001,1.224579325320781,-0.001026411389790674,120.44524725274725,1.246656464897757,27.40129375,1.8271580001937864
26.5,33.0486,0.4349,0.242475,EK__26_5,EK,82.0,0.4645916666666666,0.6194583333333332,1385.5,2.48,50.0,31.0,0.75,1.0,19.0,1.0,503.5,271.625,231.875,33.109218750000004,-0.02915000000000001,1.3135314465854016,-0.0008940149494480937,140.61765498652292,1.3338150995367952,32.60571875,1.798997063691793
27.0,32.1517,0.4384,0.242775,EK__27_0,EK,84.0,0.4676833333333333,0.6235833333333333,1427.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,513.0,276.75,236.25,32.21239375,-0.033975000000000005,1.3609668483578625,-0.0010717870590190707,134.177328042328,1.382991748856396,31.699393749999995,1.8254457173243548
27.5,41.9761,0.4703,0.250275,EK__27_5,EK,84.0,0.4814666666666667,0.6419583333333333,1470.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,522.5,281.875,240.625,42.03866875,-0.03159999999999996,1.1187319056101177,-0.0007611492329720324,172.53472727272725,1.1328116590719852,41.51616875,1.6725357908188478
28.0,41.1545,0.6027,0.251075,EK__28_0,EK,84.0,0.49525,0.6603333333333333,1513.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,532.0,287.0,245.0,41.217268749999995,-0.03592500000000004,1.4622511832494969,-0.0008829977312119893,166.0623214285714,1.4813715590854986,40.68526874999999,1.7818765870424969
28.5,31.00456,0.414588,0.263481,EK__28_5,EK,86.0,0.4922208333333333,0.6562916666666667,1556.5,2.48,50.0,31.0,0.75,1.0,19.0,1.0,541.5,292.125,249.375,31.07043025,-0.028644000000000003,1.3343490793790989,-0.0009382575729131551,122.4217754385965,1.3580167945779889,30.528930250000002,1.844808836803444
29.0,48.9168,0.5254,0.253925,EK__29_0,EK,88.0,0.4891916666666666,0.65225,1600.0,2.48,50.0,31.0,0.75,1.0,19.0,1.0,551.0,297.25,253.75,48.980281250000004,-0.043325,1.0726765681852837,-0.0008946034069006548,190.85431034482758,1.0848808539771586,48.42928125,1.6208587066341835
29.5,53.071681632653075,0.7695081632653061,0.2748380612244898,EK__29_5,EK,92.0,0.4953125,0.6604166666666667,1647.5,2.48,50.0,31.0,,1.0,19.0,1.0,560.5,302.375,258.125,,-0.027536938775510222,,,,,,1.8189894035458565e-12
30.0,71.71943673469387,0.8032836734693878,0.2967538775510204,EK__30_0,EK,96.0,0.5014333333333334,0.6685833333333333,1695.0,2.48,50.0,31.0,,1.0,19.0,1.0,570.0,307.5,262.5,,-0.0107461224489796,,,,,,1.8189894035458565e-12
30.5,74.6972,0.7266,0.312625,EK__30_5,EK,,,,,2.48,50.0,31.0,0.5,1.0,19.0,1.0,579.5,312.625,266.875,74.8535125,0.0,0.9706959309357728,0.0,278.3101170960187,0.9782694855754561,74.2740125,1.4679933099885485
31.0,71.1027,0.7892,0.31775,EK__31_0,EK,,,,,2.48,50.0,31.0,0.5,1.0,19.0,1.0,589.0,317.75,271.25,71.261575,-5.551115123125783e-17,1.107469207633988,-7.854694870146989e-19,260.54405529953914,1.1166990873050828,70.672575,1.5367262244687014
31.5,71.5561,0.8233333333333334,0.322875,EK__31_5,EK,,,,,,,,0.5,1.0,19.0,1.0,598.5,322.875,275.625,71.7175375,0.0,1.1480223136960515,0.0,258.028253968254,1.1576834589941314,71.1190375,1.5523739294078491
32.0,61.9935,0.8390000000000001,0.328,EK__32_0,EK,,,,,,,,0.5,1.0,19.0,1.0,608.0,328.0,280.0,62.1575,0.0,1.3497968869404338,0.0,219.81964285714284,1.363130488468631,61.5495,1.6596893578596752
32.5,88.66573703703709,0.9320518518518518,0.333125,EK__32_5,EK,,,,,,,,0.5,1.0,19.0,1.0,617.5,333.125,284.375,88.83229953703709,0.0,1.0492263024928776,0.0,310.2058884818886,1.0565708438304946,88.21479953703708,1.4652011364648967
33.0,71.1125,0.7239,0.33825,EK__33_0,EK,,,,,,,,0.5,1.0,19.0,1.0,627.0,338.25,288.75,71.28162499999999,0.0,1.0155492386712566,0.0,244.69134199134197,1.0245613786783243,70.654625,1.5152251429563997
33.5,73.9782,0.8763,0.343375,EK__33_5,EK,,,,,,,,0.5,1.0,19.0,1.0,636.5,343.375,293.125,74.1498875,0.0,1.1817954545109726,0.0,250.79194029850746,1.1920277786137932,73.51338750000001,1.5672848529876615
34.0,83.5279000000001,1.009766666666667,0.3485,EK__34_0,EK,,,,,,,,0.5,1.0,19.0,1.0,646.0,348.5,297.5,83.7021500000001,-5.551115123125783e-17,1.206380799855996,-6.683569035075399e-19,279.18033613445414,1.2157638737970224,83.0561500000001,1.5458727381102577
34.5,66.5737,0.8596,0.353625,EK__34_5,EK,,,,,,,,0.5,1.0,19.0,1.0,655.5,353.625,301.875,66.7505125,0.0,1.2877803747199694,0.0,218.94828157349895,1.3005519894560882,66.0950125,1.637604284817421
35.0,68.3659,0.9051,0.35875,EK__35_0,EK,,,,,,,,0.5,1.0,19.0,1.0,665.0,358.75,306.25,68.54527499999999,0.0,1.3204411244976406,0.0,221.64987755102032,1.3333770377329794,67.88027499999998,1.643232023295918
35.5,64.625748,0.8743320000000001,0.363875,EK__35_5,EK,,,,,,,,0.5,1.0,19.0,1.0,674.5,363.875,310.625,64.8076855,0.0,1.3491177678301751,0.0,206.4649835010061,1.3633066768529687,64.13318550000001,1.6713217612730282
36.0,64.5436,0.8445,0.369,EK__36_0,EK,,,,,,,,0.5,1.0,19.0,1.0,684.0,369.0,315.0,64.7281,0.0,1.3046883810895114,0.0,203.31460317460318,1.318622636589475,64.0441,1.6618555256266374
36.5,37.1605,0.7204,0.374125,EK__36_5,EK,,,,,,,,0.5,1.0,19.0,1.0,693.5,374.125,319.375,37.3475625,0.0,1.9289076763711153,0.0,114.76810176125244,1.9654028799672616,36.6540625,1.9907443036019954
37.0,64.81966666666665,0.7996000000000003,0.37925,EK__37_0,EK,,,,,,,,0.5,1.0,19.0,1.0,703.0,379.25,323.75,65.00929166666666,-5.551115123125783e-17,1.2299780223724437,-8.632304832472899e-19,198.6294723294723,1.243424211342722,64.30629166666665,1.6441417864876273
37.5,65.0593,0.722,0.384375,EK__37_5,EK,,,,,,,,0.5,1.0,19.0,1.0,712.5,384.375,328.125,65.2514875,0.0,1.106488185422593,0.0,196.6902476190476,1.118703636309758,64.53898749999999,1.6049619603782026
38.0,68.2308,0.6528,0.3895,EK__38_0,EK,,,,,,,,0.5,1.0,19.0,1.0,722.0,389.5,332.5,68.42555,0.0,0.9540295985929232,0.0,203.6196992481203,0.9642035018843177,67.70355,1.535766349104423
38.5,78.55290400000001,0.8488360000000003,0.394625,EK__38_5,EK,,,,,,,,0.5,1.0,19.0,1.0,731.5,394.625,336.875,78.75021650000001,0.0,1.0778840208013907,0.0,231.59544786641933,1.087990213220183,78.01871650000001,1.544456913455786
39.0,69.1674,0.7634,0.39975,EK__39_0,EK,,,,,,,,0.5,1.0,19.0,1.0,741.0,399.75,341.25,69.367275,0.0,1.1005189406676275,0.0,201.10263736263738,1.112401918944311,68.626275,1.5940302046936685
39.5,68.7791,0.8078,0.404875,EK__39_5,EK,,,,,,,,0.5,1.0,19.0,1.0,750.5,404.875,345.625,68.9815375,0.0,1.171037975197349,0.0,197.41349005424954,1.1839186821686538,68.2310375,1.6235685665869073
0.0,0.0,0.0,0.0,,,,,,,,,,,,19.0,1.0,0.0,0.0,0.0,,0.0,,,,,,
0.5,0.6084090909090909,-0.003936363636363636,0.014981818181818181,DE__0_5,DE,,,,,2.48,50.0,30.0,0.75,1.0,19.0,1.0,9.5,5.125,4.375,0.6121545454545454,0.009856818181818182,-0.6430342902119192,0.01635566885898751,137.74961038961038,-0.6531708200084475,0.6026545454545454,1.8189894035458565e-12
1.0,4.370536363636364,0.01526363636363636,0.01718181818181818,DE__1_0,DE,,,,,2.48,50.0,30.0,0.75,1.0,19.0,1.0,19.0,10.25,8.75,4.374831818181819,0.00693181818181818,0.3488965290094267,0.0015913879302878163,497.8093506493506,0.35041840458403195,4.3558318181818185,1.5576712145267533
1.5,8.2079,0.0566,0.024,DE__1_5,DE,,,,,2.48,50.0,30.0,0.75,1.0,19.0,1.0,28.5,15.375,13.125,8.2139,0.008625,0.6890758348652893,0.001053705377867911,623.6495238095239,0.6914750653602755,8.185400000000001,1.5685706121976892
2.0,10.8656,0.0738,0.029,DE__2_0,DE,,,,,2.48,50.0,30.0,0.75,1.0,19.0,1.0,38.0,20.5,17.5,10.872850000000001,0.0085,0.6787548802751808,0.0007845055538378473,619.1342857142857,0.6811354102733309,10.834850000000001,1.5246489130980447
2.5,14.44511,0.09086,0.0366,DE__2_5,DE,,,,,2.48,50.0,30.0,0.75,1.0,19.0,1.0,47.5,25.625,21.875,14.45426,0.010974999999999999,0.6286036089014588,0.000761795157273391,658.5947428571428,0.6306761548051054,14.40676,1.4547117688060651
3.0,15.06646065573771,0.1099786885245902,0.04283114754098361,DE__3_0,DE,,,,,2.48,50.0,30.0,0.75,1.0,19.0,1.0,57.0,30.75,26.25,15.077168442622957,0.012081147540983612,0.7294386140416252,0.0008043283660322183,572.1968930523032,0.7322067588303606,15.020168442622957,1.50283788795795
3.5,11.89726363636364,0.05823636363636366,0.04016818181818183,DE__3_5,DE,,,,,2.48,50.0,30.0,0.75,1.0,19.0,1.0,66.5,35.875,30.625,11.907305681818185,0.004293181818181828,0.48908094906211613,0.00036257514341056214,386.63855287569584,0.49182771173913326,11.840805681818185,1.4870283150778787
4.0,16.08314,0.10108,0.04893000000000002,DE__4_0,DE,8.0,0.090625,0.1208333333333333,18.0,2.48,50.0,30.0,0.75,1.0,19.0,1.0,76.0,41.0,35.0,16.0953725,0.00793000000000002,0.6280065900928978,0.0004950256322462081,457.6963571428571,0.6309860139652786,16.0193725,1.4776285818717403
4.5,13.88093999999999,0.10078,0.05579000000000001,DE__4_5,DE,6.0,0.090625,0.1208333333333333,19.5,2.48,50.0,30.0,0.75,1.0,19.0,1.0,85.5,46.125,39.375,13.89488749999999,0.009665000000000014,0.7253027417458404,0.0006998862187044878,350.7146031746029,0.7297934104608192,13.80938749999999,1.5725871661548065
5.0,17.89286,0.12414,0.06160999999999998,DE__5_0,DE,4.0,0.090625,0.1208333333333333,21.0,2.48,50.0,30.0,0.75,1.0,19.0,1.0,95.0,51.25,43.75,17.9082625,0.010359999999999973,0.6931995775692924,0.0005815891389912417,407.1602857142857,0.6968964837294684,17.8132625,1.5012415308053408
